release_id,feature_area,release_type,expected_metric,nearby_anomalies,related_incidents,risk_note
REL-001,Clothing,feature,purchase_conversion,1,2,investigate
REL-002,Toys,feature,cart_rate,0,0,low_risk
REL-003,Pet Supplies,performance,refund_rate,0,1,investigate
REL-004,Beauty,bugfix,review_rating,1,1,investigate
REL-005,Electronics,performance,revenue,1,1,investigate
REL-006,Home & Kitchen,feature,purchase_conversion,0,0,low_risk
REL-007,Books,performance,cart_rate,0,1,investigate
REL-008,Automotive,experiment,refund_rate,0,3,investigate
REL-009,Search,feature,review_rating,0,3,investigate
REL-010,Checkout,performance,revenue,0,1,investigate
REL-011,Recommendations,performance,purchase_conversion,0,0,low_risk
REL-012,Reviews,performance,cart_rate,1,1,investigate
REL-013,Clothing,feature,refund_rate,2,2,investigate
REL-014,Toys,bugfix,review_rating,1,0,investigate
REL-015,Pet Supplies,bugfix,revenue,1,1,investigate
REL-016,Beauty,bugfix,purchase_conversion,0,1,investigate
REL-017,Electronics,performance,cart_rate,2,1,investigate
REL-018,Home & Kitchen,experiment,refund_rate,1,0,investigate
REL-019,Books,experiment,review_rating,0,1,investigate
REL-020,Automotive,feature,revenue,1,3,investigate
REL-021,Search,performance,purchase_conversion,1,3,investigate
REL-022,Checkout,feature,cart_rate,0,1,investigate
REL-023,Recommendations,experiment,refund_rate,1,0,investigate
REL-024,Reviews,feature,review_rating,0,1,investigate
